isced11,isco08,mgstatus,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,Percentage
"Less than primary, primary and lower secondary education",No response,First Generation Immigrant,Y20-64,F,THS_PER,Switzerland,2022,10.3,unknown,81.75
"Less than primary, primary and lower secondary education",No response,First Generation Immigrant,Y20-64,F,THS_PER,Netherlands,2022,2.3,u,18.25
"Less than primary, primary and lower secondary education",No response,First Generation Immigrant,Y20-64,M,THS_PER,Switzerland,2022,11.8,unknown,55.66
"Less than primary, primary and lower secondary education",No response,First Generation Immigrant,Y20-64,M,THS_PER,France,2022,5.6,du,26.42
"Less than primary, primary and lower secondary education",No response,First Generation Immigrant,Y20-64,M,THS_PER,Netherlands,2022,3.8,unknown,17.92
"Less than primary, primary and lower secondary education",No response,Native Born,Y20-64,F,THS_PER,Switzerland,2022,5.0,unknown,35.46
"Less than primary, primary and lower secondary education",No response,Native Born,Y20-64,F,THS_PER,France,2022,6.6,du,46.81
"Less than primary, primary and lower secondary education",No response,Native Born,Y20-64,F,THS_PER,Netherlands,2022,2.5,u,17.73
"Less than primary, primary and lower secondary education",No response,Native Born,Y20-64,M,THS_PER,Switzerland,2022,4.0,u,16.33
"Less than primary, primary and lower secondary education",No response,Native Born,Y20-64,M,THS_PER,Denmark,2022,3.2,u,13.06
"Less than primary, primary and lower secondary education",No response,Native Born,Y20-64,M,THS_PER,France,2022,11.3,d,46.12
"Less than primary, primary and lower secondary education",No response,Native Born,Y20-64,M,THS_PER,Netherlands,2022,6.0,unknown,24.49
"Less than primary, primary and lower secondary education",Armed forces occupations,First Generation Immigrant,Y20-64,M,THS_PER,Italy,2022,1.6,u,100.0
"Less than primary, primary and lower secondary education",Armed forces occupations,Native Born,Y20-64,M,THS_PER,Belgium,2022,2.8,u,3.59
"Less than primary, primary and lower secondary education",Armed forces occupations,Native Born,Y20-64,M,THS_PER,Germany,2022,16.6,u,21.25
"Less than primary, primary and lower secondary education",Armed forces occupations,Native Born,Y20-64,M,THS_PER,Greece,2022,1.5,u,1.92
"Less than primary, primary and lower secondary education",Armed forces occupations,Native Born,Y20-64,M,THS_PER,Spain,2022,14.5,d,18.57
"Less than primary, primary and lower secondary education",Armed forces occupations,Native Born,Y20-64,M,THS_PER,France,2022,11.8,d,15.11
"Less than primary, primary and lower secondary education",Armed forces occupations,Native Born,Y20-64,M,THS_PER,Italy,2022,27.3,unknown,34.96
"Less than primary, primary and lower secondary education",Armed forces occupations,Native Born,Y20-64,M,THS_PER,Malta,2022,0.6,u,0.77
"Less than primary, primary and lower secondary education",Armed forces occupations,Native Born,Y20-64,M,THS_PER,Netherlands,2022,3.0,unknown,3.84
"Less than primary, primary and lower secondary education",Managers,First Generation Immigrant,Y20-64,F,THS_PER,Switzerland,2022,1.4,u,3.73
"Less than primary, primary and lower secondary education",Managers,First Generation Immigrant,Y20-64,F,THS_PER,Germany,2022,13.1,u,34.93
"Less than primary, primary and lower secondary education",Managers,First Generation Immigrant,Y20-64,F,THS_PER,Spain,2022,4.4,du,11.73
"Less than primary, primary and lower secondary education",Managers,First Generation Immigrant,Y20-64,F,THS_PER,France,2022,6.3,du,16.8
"Less than primary, primary and lower secondary education",Managers,First Generation Immigrant,Y20-64,F,THS_PER,Italy,2022,9.6,unknown,25.6
"Less than primary, primary and lower secondary education",Managers,First Generation Immigrant,Y20-64,F,THS_PER,Malta,2022,1.2,u,3.2
"Less than primary, primary and lower secondary education",Managers,First Generation Immigrant,Y20-64,F,THS_PER,Netherlands,2022,1.5,u,4.0
"Less than primary, primary and lower secondary education",Managers,First Generation Immigrant,Y20-64,M,THS_PER,Belgium,2022,5.1,unknown,4.52
"Less than primary, primary and lower secondary education",Managers,First Generation Immigrant,Y20-64,M,THS_PER,Switzerland,2022,7.3,unknown,6.47
"Less than primary, primary and lower secondary education",Managers,First Generation Immigrant,Y20-64,M,THS_PER,Germany,2022,44.0,unknown,38.97
"Less than primary, primary and lower secondary education",Managers,First Generation Immigrant,Y20-64,M,THS_PER,Spain,2022,15.1,d,13.37
"Less than primary, primary and lower secondary education",Managers,First Generation Immigrant,Y20-64,M,THS_PER,France,2022,19.8,d,17.54
"Less than primary, primary and lower secondary education",Managers,First Generation Immigrant,Y20-64,M,THS_PER,Italy,2022,14.1,unknown,12.49
"Less than primary, primary and lower secondary education",Managers,First Generation Immigrant,Y20-64,M,THS_PER,Netherlands,2022,4.0,unknown,3.54
"Less than primary, primary and lower secondary education",Managers,First Generation Immigrant,Y20-64,M,THS_PER,Portugal,2022,3.5,u,3.1
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,F,THS_PER,Belgium,2022,2.5,u,1.82
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,F,THS_PER,Switzerland,2022,1.5,u,1.09
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,F,THS_PER,Germany,2022,16.4,u,11.95
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,F,THS_PER,Spain,2022,19.9,d,14.5
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,F,THS_PER,France,2022,28.9,d,21.06
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,F,THS_PER,Iceland,2022,0.7,unknown,0.51
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,F,THS_PER,Italy,2022,42.0,unknown,30.61
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,F,THS_PER,Netherlands,2022,6.4,unknown,4.66
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,F,THS_PER,Norway,2022,6.4,u,4.66
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,F,THS_PER,Portugal,2022,12.5,unknown,9.11
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Belgium,2022,7.7,unknown,1.87
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Switzerland,2022,1.9,u,0.46
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Czechia,2022,0.9,u,0.22
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Germany,2022,46.6,unknown,11.31
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Denmark,2022,4.4,unknown,1.07
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Greece,2022,4.2,unknown,1.02
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Spain,2022,69.7,d,16.92
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,France,2022,56.5,d,13.72
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Croatia,2022,1.4,u,0.34
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Ireland,2022,8.0,u,1.94
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Iceland,2022,1.7,unknown,0.41
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Italy,2022,124.0,unknown,30.1
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Malta,2022,1.4,unknown,0.34
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Netherlands,2022,24.8,unknown,6.02
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Norway,2022,8.9,u,2.16
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Portugal,2022,41.0,unknown,9.95
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Serbia,2022,1.7,u,0.41
"Less than primary, primary and lower secondary education",Managers,Native Born,Y20-64,M,THS_PER,Sweden,2022,7.1,unknown,1.72
"Less than primary, primary and lower secondary education",Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Switzerland,2022,2.6,u,5.2
"Less than primary, primary and lower secondary education",Professionals,First Generation Immigrant,Y20-64,F,THS_PER,Germany,2022,24.4,u,48.8
