country,less than 3 months,3 to 5 months,6 to 11 months,12 to 23 months,24 months or over
Austria,58.10,13.82,10.64,8.22,9.22
Belgium,48.58,18.41,11.03,9.38,12.60
Switzerland,74.01,8.52,7.81,4.48,5.18
Cyprus,67.52,19.34,8.31,3.02,1.81
Czechia,68.39,21.91,6.49,1.80,1.41
Germany,34.33,14.55,13.11,12.62,25.39
Denmark,45.77,14.57,13.42,9.98,16.26
Greece,27.27,27.78,21.93,17.10,5.91
Spain,40.63,17.38,16.05,10.38,15.56
Finland,41.21,13.88,16.78,13.53,14.59
France,48.61,14.32,17.73,7.72,11.62
Ireland,69.99,13.83,7.03,2.62,6.53
Italy,38.67,28.31,17.03,8.44,7.55
Luxembourg,58.34,12.94,8.39,6.37,13.95
Malta,73.32,13.01,7.10,3.68,2.89
Netherlands,76.26,9.93,5.68,4.20,3.93
Norway,63.57,10.63,11.31,6.85,7.65
Slovenia,73.00,9.50,5.83,5.18,6.48
